Overlap,XTREE,Alves,Shatnawi,Oliveira
0,16,10,27,6
25,35,14,5,14
50,28,6,0,6
75,57,5,0,9
0,15,10,27,6
25,36,14,5,14
50,25,6,0,6
75,60,5,0,9
0,15,10,27,6
25,37,14,5,14
50,26,6,0,6
75,58,5,0,9
0,15,10,27,6
25,36,14,5,14
50,28,6,0,6
75,57,5,0,9
0,15,10,27,6
25,36,14,5,14
50,26,6,0,6
75,59,5,0,9
0,17,10,27,6
25,35,14,5,14
50,26,6,0,6
75,58,5,0,9
0,17,10,27,6
25,35,14,5,14
50,26,6,0,6
75,58,5,0,9
0,15,10,27,6
25,37,14,5,14
50,26,6,0,6
75,58,5,0,9
0,15,10,27,6
25,37,14,5,14
50,27,6,0,6
75,57,5,0,9
0,16,10,27,6
25,36,14,5,14
50,26,6,0,6
75,58,5,0,9
