Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive,Metrics,XTREE,Alves,Shatw,Olive
wmc,0,89,100,94,wmc,0,94,100,94,wmc,0,94,100,92,wmc,0,87,100,94,wmc,0,84,100,92,wmc,0,72,100,90,wmc,0,98,91,94,wmc,0,80,100,93,wmc,0,87,69,94
dit,0,47,100,66,dit,0,100,28,49,dit,0,40,0,62,dit,16,90,87,52,dit,0,67,100,44,dit,0,59,77,67,dit,0,50,100,50,dit,0,16,100,46,dit,0,69,100,66
noc,0,0,100,0,noc,0,0,100,0,noc,0,2,0,0,noc,0,0,100,0,noc,0,0,65,0,noc,0,0,22,0,noc,70,1,50,0,noc,0,0,0,0,noc,0,0,100,0
cbo,0,1,12,92,cbo,100,1,1,96,cbo,0,3,39,93,cbo,88,1,0,86,cbo,0,7,100,89,cbo,100,1,0,92,cbo,100,2,49,90,cbo,0,1,17,89,cbo,36,6,0,95
rfc,0,19,21,97,rfc,0,23,0,100,rfc,0,6,100,98,rfc,0,16,24,96,rfc,0,79,64,99,rfc,69,0,22,96,rfc,0,2,49,97,rfc,0,15,16,97,rfc,0,42,72,98
lcom,0,76,79,87,lcom,0,23,91,92,lcom,0,57,100,87,lcom,0,46,36,91,lcom,0,38,100,85,lcom,0,31,30,83,lcom,9,78,100,94,lcom,0,65,84,91,lcom,37,58,60,93
ca,74,11,29,75,ca,0,3,75,83,ca,97,14,100,77,ca,0,18,2,68,ca,83,10,100,84,ca,0,8,77,78,ca,0,7,7,80,ca,0,12,84,75,ca,12,23,17,87
ce,0,3,21,90,ce,0,1,33,82,ce,0,4,40,92,ce,0,7,87,79,ce,0,37,65,92,ce,0,11,22,88,ce,0,7,0,88,ce,0,6,1,85,ce,0,21,0,93
npm,0,99,100,92,npm,0,28,100,90,npm,0,91,100,89,npm,0,97,100,94,npm,96,86,59,88,npm,78,96,100,89,npm,13,98,100,93,npm,0,97,100,87,npm,0,97,100,90
lcom3,0,0,9,92,lcom3,0,0,100,89,lcom3,52,0,39,81,lcom3,100,0,75,57,lcom3,0,0,64,78,lcom3,65,0,22,84,lcom3,41,0,56,97,lcom3,0,0,0,91,lcom3,22,0,59,92
loc,0,100,99,100,loc,0,28,100,100,loc,0,100,100,100,loc,35,100,26,100,loc,0,99,88,100,loc,0,100,100,100,loc,0,100,100,100,loc,0,100,100,100,loc,1,100,98,100
dam,0,0,37,47,dam,0,0,28,44,dam,0,0,39,37,dam,0,9,0,37,dam,0,52,0,55,dam,0,0,100,51,dam,0,0,6,80,dam,0,0,16,49,dam,0,15,0,60
moa,0,56,100,35,moa,0,51,100,39,moa,0,45,100,39,moa,0,29,88,18,moa,0,39,100,27,moa,35,35,47,35,moa,0,30,56,30,moa,0,46,100,54,moa,0,67,100,54
mfa,67,52,100,82,mfa,0,30,100,53,mfa,0,50,100,70,mfa,0,50,24,59,mfa,100,45,64,64,mfa,0,64,75,81,mfa,4,64,100,84,mfa,0,38,16,52,mfa,0,51,62,75
cam,0,0,100,96,cam,0,0,71,97,cam,0,0,65,96,cam,0,5,11,97,cam,0,4,100,96,cam,0,0,77,95,cam,0,0,49,97,cam,0,0,83,97,cam,0,2,77,98
ic,0,9,21,47,ic,0,0,71,31,ic,0,2,39,31,ic,0,0,100,23,ic,0,6,35,25,ic,77,0,0,45,ic,0,0,43,43,ic,0,2,100,28,ic,0,7,22,47
cbm,100,0,100,52,cbm,0,0,0,32,cbm,0,0,100,36,cbm,31,0,24,28,cbm,0,0,64,29,cbm,44,0,24,52,cbm,99,0,100,62,cbm,0,0,100,31,cbm,11,0,100,51
amc,0,49,100,98,amc,0,26,32,96,amc,0,72,39,98,amc,0,55,24,88,amc,0,88,100,97,amc,0,70,32,99,amc,13,66,62,99,amc,0,82,17,99,amc,36,84,64,99
max_cc,0,63,100,78,max_cc,0,19,100,64,max_cc,100,55,75,60,max_cc,0,44,100,51,max_cc,0,100,100,59,max_cc,0,81,76,76,max_cc,14,81,57,74,max_cc,0,53,83,82,max_cc,100,70,50,87
avg_cc,0,0,0,96,avg_cc,0,0,0,92,avg_cc,0,0,0,91,avg_cc,0,0,0,87,avg_cc,0,0,0,89,avg_cc,0,0,0,94,avg_cc,0,0,0,97,avg_cc,0,0,0,96,avg_cc,0,0,0,98
